Job_Title,Job_Company,Job_Location,Job_Salary,Job_Description,Job_Email,Job_PostedDate,Job_Link
Security Data Loss Prevention Engineer,Creative Global Consulting,Remote,$60.00 - $65.00 Per Hour (Employer est.),"Security Data Loss Prevention Engineer
Client: TriWest
POP: 12+ months
Location: Remote
US Citizen
REQUIRED SKILLS
Bachelor’s Degree + minimum 7 years of work experience with information security response, threat intelligence, digital forensics or comparable, professional experience.
DoD Approved 8570 certification REQUIRED
5+ years of ForcePoint DLP Engineering / administration experience
Show more",N/A,12d,"https://www.glassdoor.com/job-listing/security-data-loss-prevention-engineer-creative-global-consulting-JV_KO0,38_KE39,65.htm?jl=1009425197892"
GCP Data Engineer,Spartan Technologies,"Atlanta, GA",$92K - $121K (Glassdoor est.),"Spartan Technologies, Inc. - Atlanta, GA, United States
We have an immediate need for a Sr. GCP Data Engineer
What you will do:
Grow into a Lead Google Cloud Platform Engineer responsible for development activities, and ensuring coherent roadmap and implementation. This includes landing processes, data cleansing and datamart processes and overall automation.
Develop and maintain master data processes to allow us to bring all data together in a clean, coherent way.
Develop database and data processing architecture that is efficient, flexible and accurate.




Show more",N/A,28d,"https://www.glassdoor.com/job-listing/gcp-data-engineer-spartan-technologies-JV_IC1155583_KO0,17_KE18,38.htm?jl=1009405411364"
"Data Fusion Engineer, Journeyman (PMA-265)",AM Pierce and Associates,Patuxent River Naval Air Station,$66K - $117K (Glassdoor est.),"Who We Are: AM Pierce & Associates and Applied Technologies Group (ATG), a wholly owned subsidiary of AM Pierce and Associates, is a woman-owned small business providing Engineering & Research, Cyber, C5ISR, Program & Acquisition Management services and solutions to a diverse government and industry client base. We are a stable and growing company who offers our employees a rich benefits package, supportive and flexible work environment, and the opportunity to work with experts in their field.
The Position: We are looking for a candidate who will serve as a Data Fusion Engineer- Journeyman to support PMA-265, the Weapon System Acquisition Program and the F-18 team.
The Location: Patuxent River, MD


Show more",N/A,24h,"https://www.glassdoor.com/job-listing/data-fusion-engineer-journeyman-pma-265-am-pierce-and-associates-JV_IC5022290_KO0,39_KE40,64.htm?jl=1009439978896"
"Implementation Specialist, Well Data Lifecycle Solutions (Frac Engineer)",Peloton,"Katy, TX",$68K - $101K (Glassdoor est.),"Implementation Specialist, Well Data Lifecycle Solutions
Peloton Computer Enterprises (https://www.peloton.com/)

Peloton is looking to grow our Well Data Lifecycle Solutions - Frac team with the addition of Implementation Specialists within our Houston, TX office. The ideal candidates are engineers with 3-5+ years' experience in fracturing and a passion for data.

This is an onsite position based in Peloton's Katy, TX office location.

Reports To: US Services Manager, Well Data Lifecycle Solutions







Show more",N/A,6d,"https://www.glassdoor.com/job-listing/implementation-specialist-well-data-lifecycle-solutions-frac-engineer-peloton-JV_IC1140177_KO0,69_KE70,77.htm?jl=1009434597158"
Senior Test and Evaluation Data Engineer,Barbaricum,"Springfield, VA",$79K - $113K (Glassdoor est.),"Barbaricum is currently seeking a highly skilled and experienced Senior Test and Evaluation Data Engineer for the National Geospatial- Intelligence Agency (NGA ARCHES) Program. Senior Test and Evaluation Data Engineer is a critical role within the NGA ARCHES Program, and serves as a technical advisor and project manager in support of the maturation and integration of test and evaluation efforts across the AI/ML program.
Responsibilities
Recognize program knowledge gaps and coordinate with T&E team, government SMEs, and vendors in recommending the scope, develop, and prioritize T&E efforts for greater insight into program performance.
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/senior-test-and-evaluation-data-engineer-barbaricum-JV_IC1130409_KO0,40_KE41,51.htm?jl=1009362596533"
Sr. Data Engineer,Windfall,"San Francisco, CA",$122K - $170K (Employer est.),"Windfall is seeking a Sr. Data Engineer to join our core data team. As a Sr. Data Engineer on our core data team, you will be building out the core data asset that everything else at Windfall is built on top of. Communication and collaboration are at the heart of Windfall, and you will work closely with our product, data science, and other engineering teams. You will personally design and build the pipelines for massive datasets, taking them all the way from inception to exploration to production and customer use.

We’re on a mission to change how organizations perceive and use people data. And we hold true to our core values of: (1) Be an excellent communicator; (2) Operate with transparency; (3) Provide leverage, not optimization; (4) Make a difference every day; and (5) Act with integrity and trust.



Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/sr-data-engineer-windfall-JV_IC1147401_KO0,16_KE17,25.htm?jl=1009342321688"
Data Automation Engineer | TS/SCI,Blackspoke,"Springfield, VA",$78K - $127K (Glassdoor est.),"Own your opportunity to serve as a critical component of our nation's safety and security. Make an impact by using your expertise to protect our country from threats. Be part of an exciting opportunity to contribute to one of the nation's most critical intelligence organizations. Your work directly impacts national security and global issues, you will have the chance to contribute to missions that are of paramount importance to the United States and its allies, know that that the environments and programs you support are making a difference on a global scale. Our customers operate at the forefront of technology, dealing with some of the most advanced defense, geospatial, and intelligence systems in the world.
What you will be working on (Job Description):
Transform technology into opportunity as a Data Automation Engineer with Blackspoke. A career in enterprise IT means connecting and enhancing the systems that matter most. At Blackspoke, you'll be at the forefront of innovation and play a meaningful part in improving how agencies operate.

Show more",N/A,24h,"https://www.glassdoor.com/job-listing/data-automation-engineer-ts-sci-blackspoke-JV_IC1130409_KO0,31_KE32,42.htm?jl=1009439694518"
Data Governance Engineer (2_2024.1),Affinity Solutions,"New York, NY",$120K - $140K (Employer est.),"Affinity Solutions (Affinity) is the leading consumer purchase insights company. We provide a complete view of U.S. and U.K. consumer spending, across and between brands, via exclusive access to fully permissioned data from over 140 million debit and credit cards. This data is transformed into privacy-compliant, actionable intelligence for marketers, consultancies, and financial services companies to drive strategic growth and lasting customer relationships. Visit us at www.affinitysolutions.com to discover how we're shaping the future of consumer purchase insights.
About Your Role:
As a Data Governance Engineer, your primary responsibility will be to ensure the integrity, quality, and security of an organization's data assets. You will collaborate with various stakeholders, including data analysts, data scientists, data engineers, and business leaders, to establish and enforce data governance policies, procedures, and best practices.
Show more",N/A,4d,"https://www.glassdoor.com/job-listing/data-governance-engineer-2-2024-1-affinity-solutions-JV_IC1132348_KO0,33_KE34,52.htm?jl=1009437877660"
Data Automation Engineer,Blackspoke,"Springfield, VA",$89K - $142K (Glassdoor est.),"Own your opportunity to serve as a critical component of our nation’s safety and security. Make an impact by using your expertise to protect our country from threats. Be part of an exciting opportunity to contribute to one of the nation's most critical intelligence organizations. Your work directly impacts national security and global issues, you will have the chance to contribute to missions that are of paramount importance to the United States and its allies, know that that the environments and programs you support are making a difference on a global scale. Our customers operate at the forefront of technology, dealing with some of the most advanced defense, geospatial, and intelligence systems in the world.
What you will be working on (Job Description):
Transform technology into opportunity as a Data Automation Engineer with Blackspoke. A career in enterprise IT means connecting and enhancing the systems that matter most. At Blackspoke, you'll be at the forefront of innovation and play a meaningful part in improving how agencies operate.

Show more",N/A,24h,"https://www.glassdoor.com/job-listing/data-automation-engineer-blackspoke-JV_IC1130409_KO0,24_KE25,35.htm?jl=1009439856138"
Staff Data Engineer,Orbis,"Los Angeles, CA",$230K (Employer est.),"Los Angeles (Remote)
Permanent
up to $230k base + Equity
REF: 11010
Orbis is partnered with a Series A conversational AI startup disrupting the ecommerce space.They are well funded and have former heads of ecommerce from top global retailers in leadership.
This Staff-level Data Engineer will work heavily with Spark to enhance data collection, storage, and analysis across all Wizard’s services.
You’ll architect and scale dat infrastrcuture for batch and real-time processing, design and implement ETL, and develop backend data solutions.



Show more",N/A,25d,"https://www.glassdoor.com/job-listing/staff-data-engineer-orbis-JV_IC1146821_KO0,19_KE20,25.htm?jl=1009408866708"
"Lead Engineer, Data & Analytics",Techunting,"Allentown, PA",$98K - $138K (Glassdoor est.),"Description
The client is seeking a Lead Engineer, Data & Analytics to join our Information Technology team and collaborate with a supportive and innovative group of technology and business professionals. This role will serve as a critical player in upholding our commitment to excellence through leadership over our data platform, engineering & analytics disciplines.

Our ideal candidate is a strategic thinker and exceptional leader who is passionate about using data to enable successful business outcomes. Your expertise will be essential in spearheading the design, development, and implementation of our evolving data infrastructure. You will lead a team of engineers, architecting scalable solutions to collect, process, and analyze data, ultimately driving critical business decisions and maximizing operational efficiency. For the right person, we will consider a remote working arrangement.


Review, recommend, and implement solutions for optimizing data and database operations, taking into consideration design, configuration, reporting, performance, replication, high availability, fault tolerance, and storage
Develop and optimize ETL/ELT pipelines
Identify and mitigate performance and scalability issues in various data environments
Design optimized, efficient, reliable, and cost-effective cloud-native data platforms
Implement data lake and data warehouse architectures that support business objectives
Develop, maintain, and document data models that transform application data into actionable reporting and analysis assets (dashboards, operational scorecards, etc.)
Gather requirements for and lead the development of new reports, dashboards, and similar database objects
Stay up to date with industry trends and emerging technologies in cloud data platforms and recommend relevant changes to our data platforms and analytics processes and approaches
Monitor and perform frequent analysis and any necessary remediation of cloud data platforms for risk management, tuning/sizing, cost management, disaster recovery, and capacity planning
Address and resolve database and data platform technical debt
Analyze data access patterns and tune indexes, constraints, foreign keys, queries, etc.
All other job duties and responsibilities as assigned

Requirements


Extensive experience collaborating with development teams in helping them achieve reliable, scalable, performant, and secure data solutions
Experience in database security, backup & recovery, architecture, networking, and administration
Ability to develop a strong partnership with technology teams and customers to understand business needs and with advanced skills to communicate solutions in business terms
Strong performance tuning skills with the ability to identify, respond and resolve database performance issues
Expertise in SQL and proficiency in at least 1 additional programming language, such as Python or R
Experience with reporting platforms such as Tableau, PowerBI, or similar.
Experience with cloud data warehouses such as Snowflake, Redshift, or BigQuery that rely on Multiple Parallel Processing
Capacity to apply critical thinking and an analytical mindset to solve problems
Excellent communication skills


7+ years experience in database engineering or related field
Expertise and deep understanding in database replication setup, configuration, and troubleshooting
Data or cloud provider certifications (Microsoft, AWS, Snowflake, Tableau, Google, etc.)
Agile framework expertise

7 years
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/lead-engineer-data-analytics-techunting-JV_IC1151916_KO0,28_KE29,39.htm?jl=1009365958808"
Data Engineer,"CommIT Enterprises, Inc","North Charleston, SC",$77K - $115K (Glassdoor est.),"Overview:
CommIT Enterprises, Inc. is seeking an Data Engineer to join the team in Charleston, SC-*this position can also be remote! We are looking for a talented and forward-facing Data Engineer who will be a critical part of a fast-moving Marine Corps product development team. This team is responsible for the design, development, testing, implementation and support for a wide range of cloud-based data integrations, data pipelines, data warehousing solutions, and delivery of Business Intelligence (BI) services to Marines globally.

Established in 2001, CommIT is a Certified Veteran-Owned Small Business (CVOSB) providing innovative technical engineering and data science services. Our enterprise systems support includes the Department of Defense’s (DoD) GCSS-MC, CAC2S, TBMCS-MC, and the Department of Veteran’s Affairs’ (VA) telehealth communications. We offer acquisition management, systems engineering, Agile software development, cloud management, IT modernization, data analytics, cybersecurity, and training, including leading-edge DevSecOps, automated testing, and mobile application development.
Responsibilities:
Qualifications:
Show more",N/A,21d,"https://www.glassdoor.com/job-listing/data-engineer-commit-enterprises-inc-JV_IC1155093_KO0,13_KE14,36.htm?jl=1009413987392"
"Data Engineer (Junior, Mid, Senior, SME)","Spry Methods, Inc","Huntsville, AL",$60K - $105K (Glassdoor est.),"Who We’re Looking For (Position Overview):
Spry Methods is on the search for a Data Engineer to join our team in Huntsville, AL.
What Your Day-To-Day Looks Like (Position Responsibilities):
Serve as the subject matter expert for data engineering and architecture.
Lead the development of innovative data solutions and strategies.
Provide technical guidance and mentorship to the data engineering team.
Stay abreast of emerging technologies and best practices in data engineering.
What You Need to Succeed (Minimum Requirements):
Top Secret Clearance is Required
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/data-engineer-junior-mid-senior-sme-spry-methods-inc-JV_IC1127653_KO0,35_KE36,52.htm?jl=1009340770756"
Data Engineer (Secret Clearance or higher),"IMG Information Management Group, Inc.","West Mifflin, PA",$90K - $130K (Employer est.),"Opportunity:
IMG is seeking individuals with exceptional communication abilities, the capacity to thrive in a dynamic setting, and a strong drive to tackle intricate data challenges. The preferred candidate should possess experience in data engineering, along with a demonstrated history of creating effective data applications. As part of a team of data engineers, the candidate will collaborate on the design, development, testing, documentation, deployment, and management of data systems.

Qualifications:
The ideal candidate should have at least 3 years of experience in data engineering and possess professional expertise in the following areas:
i. Data modeling and data architecture
ii. SQL databases (e.g. Oracle, PostgeSQL, or MySQL)
iii. Python programming language


i. Data integration and ETL tools (e.g., Talend, Informatica, Knime, or Apache NiFi)
ii. Data visualization tools (e.g., Tableau or Power BI).
iii. Agile methodologies and project management tools and utilization of project management tools (e.g., JIRA).
iv. Statistical, mathematical, and database Python packages (e.g., NumPy, SQLAlchemy, or Pandas)

$90,000-$130,000


Founded in 1987, IMG is a leading small business that exemplifies competence, integrity and follow-through. We consistently provide customer focused professional services, which ensures our company is recognized for continually exceeding expectations. We believe that at the core of our success stand our people. Our people have provided professional services in the Information Technology field for our customers with a commitment to customer satisfaction for more than 35 years.Information Management Group, Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.
Show more",N/A,6d,"https://www.glassdoor.com/job-listing/data-engineer-secret-clearance-or-higher-img-information-management-group-inc-JV_IC1153066_KO0,40_KE41,77.htm?jl=1009434487305"
"Engineer, Data Integration",Independent Living Systems,"Miami, FL",$59K - $104K (Glassdoor est.),"ABOUT US
Join us in making a career in Independent Living Systems, an industry leader in managing home and community-based programs for over 20 years. Independent Living Systems, LLC and its subsidiaries offer a comprehensive range of clinical and third-party administrative services to managed care organizations and providers that serve high-cost, complex member populations in the Medicare, Medicaid, and Dual-Eligible Market. ILS provides tailored integrated solutions aimed at improving health outcomes while rebalancing costs, addressing social determinants of health and connecting members with community-based resources.
Position Summary
The Data Integration Engineer is responsible for analyzing, developing, and deploying software solutions to meet company and client data exchange requirements in a SQL Server and .NET Framework platforms. As part of the Data Integration Team, this position analyzes requirements for the design, development, and implementation of projects to support all data exchanges with clients and business partners including electronic data interchange. This individual will have a standard level of technical ability and an understanding of development lifecycles and formal methodologies.













Show more",N/A,5d,"https://www.glassdoor.com/job-listing/engineer-data-integration-independent-living-systems-JV_IC1154170_KO0,25_KE26,52.htm?jl=1009435297087"
Founding Data Engineer (Sr. Role),Gearsupply,"Cincinnati, OH",$135K - $200K (Employer est.),"Description

Are you ready for a new challenge? Ignite your passion for AV gear-join our Engineering team! (No AV experience required-we will teach you all you need to know!)

Do you thrive in a fast-paced environment and get a kick out of building relationships and exceeding targets? Then Gearsupply might just be your dream stage!
We're on a mission to revolutionize the way people buy and sell used AV gear. We're a passionate team of Geargurus building a thriving marketplace that connects professionals with the gear they need to bring their creative visions to life.












Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/founding-data-engineer-sr-role-gearsupply-JV_IC1145705_KO0,30_KE31,41.htm?jl=1009279073670"
Senior Data Engineer for Training Curriculum,MinIO,United States,$125K - $225K (Employer est.),"The MinIO team is looking for an experienced Data Engineer with at least five years of designing, deploying and supporting high-performance, large-scale processing systems and data pipelines using GPU processors. The candidate must be well rounded, with experience with modern workloads such as AI/ML platforms, data lakehouses, modern database technologies (MongoDB, Snowflake, Vector), open table formats (Iceberg, Deltalake, Hudi).
You will work closely with the MinIO Engineering team to understand how to optimize MinIO object storage for these workloads. This research will lead to the development of training content, including hands-on labs and course materials. You will be recording videos that will be published on YouTube and the future MinIO learning portal.
You will be part of a team of technologists, video editors, and motion graphic designers building a world-class training portfolio for MinIO. This role works hand in hand with MinIO engineering, support, and technical marketing to tell the Kubernetes-native, multi-cloud story that is MinIO object storage as it relates to the data store.
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/senior-data-engineer-for-training-curriculum-minio-JV_KO0,44_KE45,50.htm?jl=1009363901246"
Senior Data & AI Infrastructure Engineer,One Park Financial,"Plano, TX",$102K - $138K (Glassdoor est.),"Position Summary:
Company Overview:
One Park Financial (OPF) is a leading Financial Technology company dedicated to empowering small businesses by connecting them with a wide variety of flexible financing and funding options. Our mission is to provide entrepreneurs with the working capital they need to elevate their businesses to new heights. At OPF, we believe in working with high-performing individuals who are ready to play an integral part in our company's expansion. We know that our success hinges on our people, and we strive to enable them to do what they do best.
Why Join Us?
At OPF, we foster a dynamic and inclusive company culture that emphasizes collaboration, innovation, and personal growth. Our team is composed of passionate, driven individuals who are committed to making a difference. Here’s what you can expect when you join our team:
Show more",N/A,11d,"https://www.glassdoor.com/job-listing/senior-data-ai-infrastructure-engineer-one-park-financial-JV_IC1140045_KO0,38_KE39,57.htm?jl=1009426894223"
"Tech Lead, Data Engineer",Lovelytics,"Arlington, VA",$97K - $142K (Glassdoor est.),"Lovelytics is seeking a Data Engineering Technical Lead (Level 4) Consultant with a extensive Databricks experience to join our team and help deliver strategic client engagements
As a Tech Lead, you will gain people management skills to develop to the next level. In addition, you will play a key role, often as an engagement lead, on client engagements related to data warehousing, ETL development, data integrations, and data modeling. This is a client-facing and stakeholder management role, focused on using and migrating to our partner technologies; Databricks, AWS, and Azure to name a few. In addition to the technical capabilities for this role, we are looking for someone who wants to work in a collaborative, dynamic, and inclusive environment and has a passion for bringing meaning to data.
Show more",N/A,4d,"https://www.glassdoor.com/job-listing/tech-lead-data-engineer-lovelytics-JV_IC1130337_KO0,23_KE24,34.htm?jl=1009437634842"
Staff Data Engineer,Karius,"Redwood City, CA",$165K - $248K (Employer est.),"About Karius
Karius is a venture-backed life science startup that is transforming the way pathogens and other microbes are observed throughout the body. By unlocking the information present in microbial cell-free DNA, we're helping doctors quickly solve their most challenging cases, providing industry partners with access to 1000’s of biomarkers to accelerate clinical trials, discovering new microbes, and reducing patient suffering worldwide.

Position Summary
We are seeking a seasoned Staff data engineer to drive data platform initiatives across the data value chain at Karius. We develop and operate AI-driven data analytics pipelines to deliver life-saving results in the highly complex infectious disease landscape. In this role, you will have the opportunity to develop and optimize the data platform to enable our users to extract insights from large amounts of commercial, operational, genomic, and clinical data, ultimately providing actionable insights that serve the business and patients. You will be able to incorporate the next generation of AI technologies and tools (e.g. Generative AI) into the Karius data platform to significantly increase delivered value to internal stakeholders and our customers.



















Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/staff-data-engineer-karius-JV_IC1147394_KO0,19_KE20,26.htm?jl=1009400163327"
Senior Data Engineer,Dutech Systems,"New York, NY",$36.00 - $41.00 Per Hour (Employer est.),"NEW YORK,NY
DatePosted : 8/21/2024 1:48:01 AM
JobNumber : DTS101766220
JobType : W2
Skills: Experience Deploying and Supporting, Amazon Kinesis, AWS Lambda, Amazon Glue, and Amazon Athena
Job Description
Senior Data Engineer to help us organize, standardize, and gain insights from the tremendous amount of data generated from our community and auction marketplace. The ideal candidate has experience across the full stack, and is a self-starter who loves to code, is certified to work with Amazon Web Services (AWS).
































Show more",N/A,21d,"https://www.glassdoor.com/job-listing/senior-data-engineer-dutech-systems-JV_IC1132348_KO0,20_KE21,35.htm?jl=1009413998376"
Data Center Infrastructure Operations Network Engineer,COLE ENGINEERING SERVICES INC,"Orlando, FL",$93K - $128K (Glassdoor est.),"Job Summary: Perform as a technical team member of Engineers in the maintenance (technical including VMware, Micro-Services, Networking, Security Services, etc.) of the platform and ensuring continuity of operations for our End Users. In this role you will need to foster a relationship of trust with our customers and the current in place technical staff.
Automate, collect, process, and present, system performance, and other metric information to show improvements or degradation over time. Balance hybrid cloud distribution between private corporate infrastructure and public clouds. Work as part of a fast moving highly diverse team across multiple projects simultaneously.
Contribute as part of a high performing team in an Agile development and execution paradigm providing insight into taskings to both the team and customer via Jira and Confluence.

Show more",N/A,20d,"https://www.glassdoor.com/job-listing/data-center-infrastructure-operations-network-engineer-cole-engineering-services-inc-JV_IC1154247_KO0,54_KE55,84.htm?jl=1009414484502"
"Data Engineer (Junior, Mid, Senior, SME)",Spry Methods,"Huntsville, AL",$60K - $105K (Glassdoor est.),"Who We’re Looking For (Position Overview):
Spry Methods is on the search for a Data Engineer to join our team in Huntsville, AL.
What Your Day-To-Day Looks Like (Position Responsibilities):
Serve as the subject matter expert for data engineering and architecture.
Lead the development of innovative data solutions and strategies.
Provide technical guidance and mentorship to the data engineering team.
Stay abreast of emerging technologies and best practices in data engineering.
What You Need to Succeed (Minimum Requirements):
Top Secret Clearance is Required
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/data-engineer-junior-mid-senior-sme-spry-methods-JV_IC1127653_KO0,35_KE36,48.htm?jl=1009341071241"
Data and Development Engineer,Bold Orange,Minneapolis-Saint Paul,$75K - $110K (Glassdoor est.),"Role Location: Greater Minneapolis/St. Paul area (partial in-office requirement). This position requires a partial in-office commitment and is not a fully remote position.
Bold Orange is a customer experience company. We believe authentic human connections are the single most important driver of business and societal progress. We exist to create these connections across the customer lifecycle, from acquisition to engagement to retention. Our culture is one of curiosity, collaboration, proactivity and always bringing the outside perspective to our customers.
Position Summary:
Bold Orange is seeking a Data and Development Engineer with a passion for developing technical solutions related to various aspects of data lineage. This person will design and execute data acquisition, process automation, and support analytics & insights data service capabilities by managing large behavioral datasets.
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/data-and-development-engineer-bold-orange-JV_IC5022056_KO0,29_KE30,41.htm?jl=1009375973957"
Software Engineer - Linked Data & Human Performance (Government Defense),Eduworks Corporation,"Corvallis, OR",$70K - $100K (Employer est.),"Eduworks Corporation, a leading defense contractor at the forefront of human performance optimization, is seeking a Software Engineer - Linked Data & Human Performance (Government Defense) to join our team. We leverage cutting-edge technologies like linked data and web development to create innovative solutions that empower our warfighters.
About the Role:
As a Software Engineer, you will play a critical role in developing and implementing next-generation solutions that leverage linked data concepts to improve training, decision-making, and overall human performance in defense applications. You will combine your expertise in web technologies with a passion for human performance optimization to design, build, and integrate secure and scalable software systems. This role offers a unique opportunity to contribute to projects with a direct impact on national security.
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/software-engineer-linked-data-human-performance-government-defense-eduworks-corporation-JV_IC1151455_KO0,66_KE67,87.htm?jl=1009357202655"
"Sr Engineer, Data Integrations and Analytics",PDS Health,"Irvine, CA",$107K - $180K (Employer est.),"Description:
Now is the time to join PDS Health. You will have opportunities to learn new skills from our team of experienced professionals. If you're ready to take your career to the next level and gain valuable experience, apply today!
Overview:
The primary role of the Sr Engineer, Data Integrations & Analytics, is to work within our Accounting & Finance team to develop and support technical aspects of Oracle Fusion Cloud (ERP/EPM/EDM) such as OIC Integrations, ESS Jobs, Configurations, Rest & Soap calls, API's, FBDI Loads, BIP reports, and BICC. You’ll be responsible for all aspects of designing technical solutions, debugging and resolving data issues as well as developing solutions based on specifications. This position will monitor and tune performance of interfaces between Oracle Fusion Cloud and external applications (Workday, Epic, Concur, etc.). You will help provide production support for Fusion Cloud (ERP/EPM/EDM) and responsible for ensuring SDLC procedures are followed when making changes to the system. You will work directly with business users to support and design solutions involving writing technical specifications and requirements for integrations, enhancements, and creating custom reports.The Sr Engineer, Data Integrations & Analytics should have a positive attitude and excellent communication skills and be committed to achieving predetermined goals and deadlines while working within the policies of the Accounting Department.








Salary Information: $107,088.00-$180,169.00 / Annually
Show more",N/A,5d,"https://www.glassdoor.com/job-listing/sr-engineer-data-integrations-and-analytics-pds-health-JV_IC1146798_KO0,43_KE44,54.htm?jl=1009436146432"
Senior Data Engineer and BI Developer,USZOOM/iPostal1,"Montebello, NY",$140K - $150K (Employer est.),"iPostal1, the leading provider of Digital Mailbox technology worldwide, is looking for an intelligent and ambitious Senior Data Engineer and BI Developer&nbsp;to join the newly formed data team. Our website, http://www.ipostal1.com/, lists 3,000 addresses, including retail pack and ship stores, 1,000 Staples stores and coworking spaces. Customers choose a mailing address for business or personal use and view and manage their postal mail and packages anywhere with an app or online.
The incumbent will help us build our enterprise data warehouse on Snowflake from the start! Your role will include ELT design, using low code tools and SQL, visualization tool report and dashboard design, and performing insightful data analysis to meet our corporate growth goals. &nbsp;Our corporate headquarters is in Rockland County, NY, and this person will work in the office 2 - 3 days/ week on a hybrid schedule.
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/senior-data-engineer-and-bi-developer-uszoom-ipostal1-JV_IC1159117_KO0,37_KE38,53.htm?jl=1009392409380"
Big Data M/L Engineer,CEDENT,"Chicago, IL",$78K - $140K (Glassdoor est.),"Title: Big Data Machine Learning Engineer@ Chicago, IL
Terms of Hire: Full Time.
Salary: $Open+ Benefits.

The candidate can also work from any of these locations:
Chicago, IL, US
Cleveland,OH,US
Washington,DC,US
Job description:

Part of the Enterprise Payments and Analytics organization. Its mission is to lead Client’s journey to become an innovative, data driven enterprise by building advanced analytics solutions for solving business problems. Our experienced team of AI/ML and Data Science practitioners focuses on engaging, enabling, and empowering decision-makers across the enterprise by developing, managing and supporting advanced analytics products and scalable digital solutions, such as real time and on demand predictive models and prescriptive analytics, and continuously researching, specifying, and deploying next-generation analytics capabilities. We are an internal consulting and services organization that works directly with users across the firm, including Lines of Businesses and partners in Enterprise Strategy, Marketing, Data Analytics, and Enterprise Architecture, to facilitate the development of innovative solutions that help Client compete and win with analytics.

The Big Data ML Engineer fills a critical data, analytics, technology support, and innovation role for the business analytics and advanced analytics functions within the organization. The Engineer is primarily responsible for end-user product development, deployment in production framework, data analytics technical support as well as leveraging best tools and techniques, and end-user training of new emerging analytics open source technologies. S/he is also the primary conduit for identifying, researching, and evaluating new and innovative technologies that enhance the organization’s enterprise analytics and advanced analytics capabilities.



The ML Engineer works both independently and in collaboration with a cross-functional team of Data scientists and solution system architects to effectively develop, deploy, monitor, manage, and support AI/ML models and advanced analytics technology, data infrastructures, and underlying analytics use cases—primarily focused around open source technologies including cloud infrastructures. This individual evaluates short/long-term business needs required to support Client business goals and priorities and works to ensure Advanced analytics solutions are built and deployed in an effective and efficient manner on Client Enterprise systems. Under the guidance of the Group’s Director and in cooperation with partners in decision science, technology, and data the Engineer will coordinate the development of on-premise and cloud-based analytical non-production and production infrastructure and tools providing computational and statistical capabilities to enhance business results and monetize on Client data assets for business decision management solutions. The Engineer will be working closely with data scientists, data mining experts, and business partner supporting the design of experiments and analytics, data sampling and mining, verification of data quality and information integrity, and best practices around the development and deployment of predictive/prescriptive models, DevOps operational systems and practices, and data visualization solutions. The Engineer has responsibility for advising data scientists, Agile project teams, and solution architects in the integration of analytical models/methods into decision management solutions. The Engineer will assist peers in best practices and in the selection and integration of appropriate tools to support required analytic products in close coordination with the organization’s AI/AutoML analytics, digital intelligence engineers, solution/data architects, data integration developers, and data science community ensuring tight integration of functionality and toolsets.

You Will Enjoy:
All applications will be kept strictly confidential and once shortlisted, our team will be in touch with you for further discussions.
Show more",N/A,29d,"https://www.glassdoor.com/job-listing/big-data-ml-engineer-cedent-JV_IC1128808_KO0,20_KE21,27.htm?jl=1009404444703"
Senior Data Engineer,Eigen X,"King of Prussia, PA",$125K - $164K (Glassdoor est.),"Join our dynamic team as a Senior Data Engineer and lead the way in designing and implementing cutting-edge data pipelines for Business Intelligence (BI) and reporting. We are looking for an individual who is not only passionate about data but also skilled in translating complex data into actionable insights for our clients.
RESPONSIBILITIES:
Design and implement efficient and scalable data pipelines for BI and reporting purposes
Define and govern key business metrics, build automated dashboards and analytic self-service capabilities, and engineer data-driven processes that drive business value
Thoroughly understand data structures and write comprehensive technical documentation to outline solutions and architectures.
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/senior-data-engineer-eigen-x-JV_IC1152620_KO0,20_KE21,28.htm?jl=1009288462505"
Lead Data Engineer,Windfall,"San Francisco, CA",$120K - $200K (Employer est.),"Windfall is seeking a Lead Data Engineer to join our core data team. As a Lead Data Engineer on our core data team, you will be building out the core data asset that everything else at Windfall is built on top of. Communication and collaboration are at the heart of Windfall, and you will work closely with our product, data science, and other engineering teams. You will personally design and build the pipelines for massive datasets, taking them all the way from inception to exploration to production and customer use.

We’re on a mission to change how organizations perceive and use people data. And we hold true to our core values of: (1) Be an excellent communicator; (2) Operate with transparency; (3) Provide leverage, not optimization; (4) Make a difference every day; and (5) Act with integrity and trust.



Show more",N/A,20d,"https://www.glassdoor.com/job-listing/lead-data-engineer-windfall-JV_IC1147401_KO0,18_KE19,27.htm?jl=1009415009273"
